"a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput"
1,4,0.50842568,0.50082987,0.51662835,0.2346741,0.2039862,0.26241096,0.22203463,0.00836896,-0.0080117,0.02408428,0.92448048,2.50789648,0.83208121,1.15450794,0.44102869,1.84716689
1,4.5,0.52782965,0.51792149,0.53750663,0.24497867,0.20903996,0.28077936,0.21919195,-0.00476492,-0.0191579,0.00974106,0.95345024,2.61087327,0.87045846,1.16996589,0.44169977,1.83725895
1,5,0.55782449,0.54782242,0.56901273,0.30878342,0.26767202,0.34606495,0.23379741,0.01047433,-0.0077783,0.02944977,0.98718871,2.83287929,0.91553413,1.18928334,0.43268458,1.81909878
1,5.5,0.57128266,0.56104319,0.58042214,0.3656713,0.32890704,0.39791605,0.22562154,-0.00747834,-0.02715791,0.01125034,1.04121538,3.03486866,0.97640707,1.23721262,0.39783341,1.81895497
1.1,1.5,0.23916352,0.22395533,0.25195295,-0.01479725,-0.02729408,-0.00373485,0.13013809,-0.00413512,-0.01728791,0.00805542,0.81648395,1.32444369,0.62954368,1.06151257,0.35941716,2.32865095
1.1,2,0.32426477,0.30766834,0.33901643,0.02797401,0.01164235,0.04411292,0.1600925,-0.0043168,-0.01863069,0.00948822,0.81335391,1.60597264,0.65307894,1.06742119,0.41309724,2.15544632
1.1,2.5,0.39640878,0.38871592,0.40365747,0.06382017,0.04503727,0.08350279,0.18084667,0.00308169,-0.01378396,0.02022176,0.81787263,1.8225514,0.68059267,1.0670848,0.45128365,2.01100954
1.1,3,0.43456457,0.42727738,0.44226324,0.10213637,0.07832197,0.12535042,0.1946937,-0.00228665,-0.01709896,0.01194277,0.85235014,1.97400185,0.73518603,1.08413376,0.44324881,1.94597074
1.1,3.5,0.47396546,0.46466497,0.48295192,0.15271178,0.12106621,0.18302294,0.20195893,-0.00864541,-0.02504892,0.00743867,0.88475355,2.16137234,0.77447703,1.12277389,0.44806308,1.9013551
1.1,4,0.50457907,0.49613801,0.51285278,0.20793657,0.1756532,0.23782557,0.20676704,0.00248691,-0.01383806,0.01747774,0.91286048,2.35221363,0.81509903,1.14172602,0.43329481,1.86732455
