"mim_val","mom_val","a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.041,0.001,1,1.8,0.166123511333333,0.163195725,0.169132279333333,-0.0413547473333333,-0.044699192,-0.0382223583333333,0.173415074,0.00648536266666667,0.00270564433333333,0.0105425406666667,0.853617004333333,1.55158838966667,0.711388344333333,1.062222635,0.407324728333333,2.04096552966667,3000
0.041,0.021,1,1.8,0.156064544,0.152718922,0.159256088333333,-0.0251798313333333,-0.0285064316666667,-0.0217235586666667,0.16690214,0.000588045666666666,-0.003389823,0.00428634766666667,0.862156916666667,1.54954311533333,0.706729053666667,1.08688669433333,0.387517255,2.139874751,3000
0.041,0.041,1,1.8,0.144912066666667,0.14141359,0.148120782666667,-0.012848907,-0.0164798426666667,-0.009188617,0.160261201,0.003964915,-0.000144251333333334,0.00795890533333333,0.867229104,1.54890874166667,0.697904473,1.110467419,0.369452363,2.226925843,3000
0.041,0.061,1,1.8,0.130881311,0.127121823666667,0.134489158,-0.004898319,-0.008582585,-0.001247772,0.150432720666667,0.00339602033333333,-0.000744867,0.00751788166666667,0.874325721,1.54117516966667,0.689943104333333,1.13681538666667,0.346662614,2.34492654966667,3000
0.041,0.081,1,1.8,0.120520206,0.116908521,0.12434883,0.00332630633333333,-0.000570820666666667,0.00697845966666667,0.144628807333333,-0.00553478033333333,-0.00989101233333333,-0.001694564,0.880133385,1.54803869166667,0.678673629,1.16592940466667,0.328462474666667,2.45082840433333,3000
0.061,0.001,1,1.8,0.179255693,0.176404803,0.182010086666667,-0.052163218,-0.055287925,-0.049122478,0.180710180666667,-0.00160476566666667,-0.005766667,0.002215715,0.849526703333333,1.58264583166667,0.722684548,1.040436209,0.423454235666667,1.94962448066667,3000
0.061,0.021,1,1.8,0.167505942333333,0.164566896666667,0.170790499333333,-0.0417517793333333,-0.0453891073333333,-0.038403293,0.173236912666667,-0.000721261666666667,-0.00492170266666667,0.003384118,0.853299769,1.58599611066667,0.714880212666667,1.059965778,0.405338306,2.036894924,3000
0.061,0.041,1,1.8,0.154276074333333,0.150896355333333,0.157717964333333,-0.0268836176666667,-0.030444399,-0.0235242823333333,0.165694432333333,0.000678373333333333,-0.002854884,0.004300333,0.859457927,1.57669947266667,0.707017211666667,1.08447078566667,0.384378768666667,2.13158568466667,3000
0.061,0.061,1,1.8,0.144624011666667,0.141275327666667,0.148128614333333,-0.020691867,-0.0242506186666667,-0.017216596,0.158189976,-0.00662198933333333,-0.0106542186666667,-0.00268193366666667,0.863862263,1.57666439433333,0.698798219,1.105947941,0.369357763,2.22678645733333,3000
0.061,0.081,1,1.8,0.132298443822844,0.12785916037296,0.136431668997669,-0.0057636027972028,-0.0104101990675991,-0.000968766433566434,0.152109037762238,0.00483753752913753,0.000497668065268066,0.00974895384615385,0.872360860606061,1.5800671016317,0.690435956643357,1.13725936270396,0.350704268065268,2.33183155850816,2145
0.081,0.001,1,1.8,0.180279834,0.174653996,0.185325324,-0.061589249,-0.066683927,-0.056237721,0.181540833,-0.010497836,-0.017668833,-0.003641622,0.846920845,1.588675846,0.730692071,1.022456096,0.419876472,1.89995124,1000
0.081,0.021,1,1.8,0.170078057,0.16426845,0.175511908,-0.056833983,-0.06257288,-0.051400921,0.176019072,0.002521463,-0.004545739,0.009509005,0.847994493,1.596300359,0.721807466,1.039119435,0.41020593,1.967992121,1000
0.081,0.041,1,1.8,0.158444978,0.152625776,0.163707321,-0.049169319,-0.054799015,-0.043454354,0.166784098,-0.007751926,-0.014214047,-0.000903571,0.85110298,1.571015859,0.712476743,1.057064031,0.395331756,2.059758245,1000
0.081,0.061,1,1.8,0.161260957,0.155670198,0.166927325,-0.031168844,-0.037803999,-0.024722673,0.167764617,-0.004429344,-0.010784011,0.002648949,0.862365318,1.623727069,0.716115707,1.084087897,0.385987187,2.108548581,1000
0.081,0.081,1,1.8,0.148249127,0.142106053,0.154325695,-0.016905995,-0.02343418,-0.010687406,0.160486689,0.009261161,0.002305,0.016334199,0.867205319,1.614308691,0.706933951,1.105818531,0.373387734,2.20892134,1000
