"mim_val","mom_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.041,0.041,1.3,0.219794679375,0.21676367,0.22330871,-0.014619891875,-0.0177893675,-0.011556066875,0.127735185625,-0.001519806875,-0.00513606875,0.00188445625,0.81560760625,1.309841776875,0.629060959375,1.05707737,0.3613760725,2.345519341875,1600
0.041,0.041,1.4,0.2435113475,0.24046128625,0.246254584375,-0.005874299375,-0.009206625625,-0.002655256875,0.13922212625,-0.002354833125,-0.0061021225,0.001369475,0.8157420425,1.36813813875,0.637372929375,1.057496368125,0.38760029,2.2839325425,1600
0.041,0.041,1.5,0.26641138,0.26359807625,0.269149474375,-0.003769890625,-0.007124906875,-0.000474010625,0.148503544375,-0.002727013125,-0.00626416625,0.000489050625,0.8131691775,1.429112925,0.64143987625,1.056289526875,0.40904513875,2.229925235,1600
0.041,0.041,1.6,0.2837390975,0.281126743125,0.28622781,-0.001087048125,-0.004703920625,0.002589871875,0.15628801,0.000876976875,-0.00240855875,0.0042256,0.813535348125,1.48027576875,0.64870269875,1.055818224375,0.422874588125,2.196256850625,1600
0.041,0.041,1.7,0.29949416375,0.296436983125,0.302344348125,0.006463088125,0.0024646675,0.010332200625,0.16217147375,-0.000523261875,-0.00411582375,0.00324803375,0.81458661875,1.522004935,0.65317128375,1.0583067725,0.434851115625,2.1627894925,1600
0.041,0.041,1.8,0.318579784375,0.316036335625,0.32090496875,0.016995014375,0.01291639625,0.021131999375,0.16979224,0.001340198125,-0.002228741875,0.004768325,0.816271674375,1.58943844625,0.662309935625,1.05924292125,0.448080109375,2.11252135125,1600
0.041,0.041,1.9,0.333664870625,0.3311544475,0.336021863125,0.0179573175,0.013521353125,0.0222586925,0.175152113125,0.002129205,-0.00170434125,0.0058171325,0.818229211875,1.629362256875,0.66853259625,1.060383638125,0.45703247625,2.0901416,1600
0.041,0.041,2,0.34736349,0.3448505925,0.34983428,0.033290575625,0.028421984375,0.0376151275,0.18044823125,-0.000141499375,-0.00377926125,0.00341492375,0.821216958125,1.689591241875,0.676951474375,1.06326144625,0.464045415,2.0579603625,1600
0.041,0.061,0,-0.052298879375,-0.054163020625,-0.050271078125,-0.03506413125,-0.03710824625,-0.032827743125,0.000596125,-0.000227614375,-0.0035892675,0.002995491875,0.847592145,0.849149716875,0.570362155625,1.08244971875,0.001961790625,3.094859960625,1600
0.041,0.061,0.1,-0.051087296875,-0.053103955,-0.049156484375,-0.03440564875,-0.036751595,-0.032317900625,0.000739770625,0.000931009375,-0.0023246775,0.00400433625,0.84790200125,0.8493817775,0.571435838125,1.082026394375,0.002266546875,3.102292479375,1600
0.041,0.061,0.2,-0.045875029375,-0.04781642625,-0.043950406875,-0.033927643125,-0.036145385625,-0.031711355,0.001104878125,-0.001064703125,-0.004376500625,0.0021821975,0.850427728125,0.844712280625,0.57648874625,1.0811935975,0.003499963125,3.09749741125,1600
0.041,0.061,0.3,-0.043867200625,-0.046061138125,-0.0418173275,-0.03404794875,-0.036262285,-0.0318202975,0.00173908875,0.00154637625,-0.001676078125,0.00481170375,0.8490119975,0.847710719375,0.575172935,1.0805569875,0.00562021625,3.090934755625,1600
0.041,0.061,0.4,-0.033565354375,-0.03587036875,-0.031425565625,-0.03241343,-0.03486432,-0.0302672725,0.003660669375,-0.0008473525,-0.004157395,0.00243522375,0.849347614375,0.855761216875,0.575649771875,1.0826909175,0.011837056875,3.079167718125,1600
0.041,0.061,0.5,-0.024321455,-0.0268168925,-0.0217852175,-0.036652468125,-0.03895029375,-0.034482669375,0.006965195625,-0.00338540625,-0.0063798475,-1.58756249999999e-05,0.845939638125,0.86417101625,0.5737732475,1.080377874375,0.02211341,3.06673536875,1600
0.041,0.061,0.6,-0.00174415375,-0.004688875625,0.001000540625,-0.034840723125,-0.037058220625,-0.032395269375,0.01533191,0.001025259375,-0.001890205,0.00407635875,0.842436235625,0.88791803625,0.57460738375,1.07910435625,0.04776984875,3.01610732125,1600
0.041,0.061,0.7,0.02612270375,0.022706840625,0.029550145625,-0.033473011875,-0.035594373125,-0.03111121125,0.028660235625,-0.00045865875,-0.003647233125,0.002591035,0.83856500625,0.925472369375,0.576933655625,1.07830367125,0.09094269375,2.9422017375,1600
0.041,0.061,0.8,0.05883803125,0.055277661875,0.06264203,-0.031891125,-0.034314423125,-0.0297324975,0.04574710375,0.00430294625,0.000925865625,0.007558100625,0.828624433125,0.996744089375,0.578118828125,1.07554096625,0.1415094875,2.85776317125,1600
0.041,0.061,0.9,0.090433035625,0.086878106875,0.09413224875,-0.02843226,-0.0309232225,-0.02597747375,0.0622140375,0.0010728325,-0.0022744875,0.00442494125,0.824768934375,1.052918963125,0.58578218375,1.07360798375,0.19081100375,2.7672820625,1600
0.041,0.061,1,0.1259865375,0.12261575,0.129423190625,-0.024428326875,-0.02719774875,-0.021772830625,0.080409054375,-0.00117940125,-0.00442447625,0.002159333125,0.820018488125,1.124736380625,0.592253811875,1.073016489375,0.244505013125,2.676386965,1600
0.041,0.061,1.1,0.157068329375,0.153693813125,0.16035448125,-0.019911401875,-0.02252301,-0.017090565,0.096699595625,0.0004795975,-0.003177295625,0.00395026,0.813614191875,1.195371354375,0.59499189875,1.07186840125,0.288477135,2.58985208375,1600
